"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T3","Astrocytes","8","brown",559,TRUE,0.00658942484434965,91,495,13,0.0262626262626263,0.142857142857143,"GO:0009206","GO:BP","purine ribonucleoside triphosphate biosynthetic process",16178,3409,"GO:0009145, GO:0009201, GO:0009205"
"T3","Astrocytes","8","brown",559,TRUE,0.00659750415250053,867,511,49,0.0958904109589041,0.0565167243367935,"GO:0098827","GO:CC","endoplasmic reticulum subcompartment",16860,3269,"GO:0005783, GO:0031984"
"T3","Astrocytes","8","brown",559,TRUE,0.00725963853695369,275,495,24,0.0484848484848485,0.0872727272727273,"GO:0006605","GO:BP","protein targeting",16178,2349,"GO:0045184"
"T3","Astrocytes","8","brown",559,TRUE,0.00739382049096024,31,293,7,0.0238907849829352,0.225806451612903,"KEGG:03060","KEGG","Protein export",8484,217,"KEGG:00000"
"T3","Astrocytes","8","brown",559,TRUE,0.00740896906120369,174,511,17,0.0332681017612524,0.0977011494252874,"GO:0005741","GO:CC","mitochondrial outer membrane",16860,312,"GO:0031966, GO:0031968"
"T3","Astrocytes","8","brown",559,TRUE,0.0080846246239999,54,495,10,0.0202020202020202,0.185185185185185,"GO:0098930","GO:BP","axonal transport",16178,19509,"GO:0008088"
"T3","Astrocytes","8","brown",559,TRUE,0.00823585248101815,30,511,7,0.0136986301369863,0.233333333333333,"GO:0071782","GO:CC","endoplasmic reticulum tubular network",16860,2782,"GO:0098827"
"T3","Astrocytes","8","brown",559,TRUE,0.00835824063921752,654,495,42,0.0848484848484849,0.0642201834862385,"GO:0051248","GO:BP","negative regulation of protein metabolic process",16178,14043,"GO:0010605, GO:0019538, GO:0051172, GO:0051246"
"T3","Astrocytes","8","brown",559,TRUE,0.00846431467214805,16,495,6,0.0121212121212121,0.375,"GO:0098780","GO:BP","response to mitochondrial depolarisation",16178,19436,"GO:0033554"
"T3","Astrocytes","8","brown",559,TRUE,0.00846431467214805,16,495,6,0.0121212121212121,0.375,"GO:0008090","GO:BP","retrograde axonal transport",16178,3155,"GO:0098930"
"T3","Astrocytes","8","brown",559,TRUE,0.00892870793508833,7,511,4,0.00782778864970646,0.571428571428571,"GO:0033179","GO:CC","proton-transporting V-type ATPase, V0 domain",16860,1396,"GO:0033176, GO:0033177"
"T3","Astrocytes","8","brown",559,TRUE,0.00892870793508833,7,511,4,0.00782778864970646,0.571428571428571,"GO:0000220","GO:CC","vacuolar proton-transporting V-type ATPase, V0 domain",16860,33,"GO:0016471, GO:0033179"
"T3","Astrocytes","8","brown",559,TRUE,0.00909048391962614,397,495,30,0.0606060606060606,0.0755667506297229,"GO:0070201","GO:BP","regulation of establishment of protein localization",16178,16478,"GO:0032880, GO:0045184"
"T3","Astrocytes","8","brown",559,TRUE,0.00918746007366243,32,293,7,0.0238907849829352,0.21875,"KEGG:00640","KEGG","Propanoate metabolism",8484,109,"KEGG:00000"
"T3","Astrocytes","8","brown",559,TRUE,0.00981340545836857,44,385,9,0.0233766233766234,0.204545454545455,"REAC:R-HSA-8854214","REAC","TBC/RABGAPs",10842,2349,"REAC:R-HSA-9007101"
"T3","Astrocytes","8","brown",559,TRUE,0.00983318470941062,5466,495,214,0.432323232323232,0.0391511159897548,"GO:0016043","GO:BP","cellular component organization",16178,5137,"GO:0071840"
"T3","Astrocytes","8","brown",559,TRUE,0.00995533235434752,1602,511,77,0.150684931506849,0.0480649188514357,"GO:0042995","GO:CC","cell projection",16860,1845,"GO:0110165"
"T3","Astrocytes","8","brown",559,TRUE,0.00995941472291502,119,385,15,0.038961038961039,0.126050420168067,"REAC:R-HSA-373760","REAC","L1CAM interactions",10842,1259,"REAC:R-HSA-422475"
"T3","Astrocytes","8","brown",559,TRUE,0.0102435463875891,156,495,17,0.0343434343434343,0.108974358974359,"GO:1903828","GO:BP","negative regulation of protein localization",16178,23912,"GO:0008104, GO:0032880, GO:0048523"
"T3","Astrocytes","8","brown",559,TRUE,0.0102435463875891,156,495,17,0.0343434343434343,0.108974358974359,"GO:1903008","GO:BP","organelle disassembly",16178,23264,"GO:0006996, GO:0022411"
"T3","Astrocytes","8","brown",559,TRUE,0.010298248366189,79,385,12,0.0311688311688312,0.151898734177215,"REAC:R-HSA-8852276","REAC","The role of GTSE1 in G2/M progression after G2 checkpoint",10842,2429,"REAC:R-HSA-69275"
"T3","Astrocytes","8","brown",559,TRUE,0.0105535694829863,144,511,15,0.0293542074363992,0.104166666666667,"GO:1904949","GO:CC","ATPase complex",16860,3713,"GO:1902494"
"T3","Astrocytes","8","brown",559,TRUE,0.0113911098539495,848,495,50,0.101010101010101,0.0589622641509434,"GO:0030163","GO:BP","protein catabolic process",16178,6928,"GO:0009057, GO:0019538, GO:1901565"
